Edad simple;Sexo;Periodo;Total
3 años;Total;1 de octubre de 2022;373.851
3 años;Total;1 de julio de 2022;376.143
3 años;Total;1 de abril de 2022;379.063
3 años;Total;1 de enero de 2022;381.073
3 años;Total;1 de octubre de 2021;387.718
3 años;Total;1 de julio de 2021;392.810
3 años;Total;1 de abril de 2021;398.534
3 años;Total;1 de enero de 2021;404.168
3 años;Total;1 de octubre de 2020;""
3 años;Total;1 de julio de 2020;414.239
3 años;Total;1 de abril de 2020;""
3 años;Total;1 de enero de 2020;424.341
3 años;Total;1 de octubre de 2019;""
3 años;Total;1 de julio de 2019;426.880
3 años;Total;1 de abril de 2019;""
3 años;Total;1 de enero de 2019;430.054
3 años;Total;1 de octubre de 2018;""
3 años;Total;1 de julio de 2018;430.935
3 años;Total;1 de abril de 2018;""
3 años;Total;1 de enero de 2018;432.794
3 años;Total;1 de octubre de 2017;""
3 años;Total;1 de julio de 2017;429.174
3 años;Total;1 de abril de 2017;""
3 años;Total;1 de enero de 2017;426.833
3 años;Total;1 de octubre de 2016;""
3 años;Total;1 de julio de 2016;439.056
3 años;Total;1 de abril de 2016;""
3 años;Total;1 de enero de 2016;451.942
3 años;Total;1 de octubre de 2015;""
3 años;Total;1 de julio de 2015;460.536
3 años;Total;1 de abril de 2015;""
3 años;Total;1 de enero de 2015;470.058
3 años;Total;1 de octubre de 2014;""
3 años;Total;1 de julio de 2014;474.690
3 años;Total;1 de abril de 2014;""
3 años;Total;1 de enero de 2014;479.413
3 años;Total;1 de octubre de 2013;""
3 años;Total;1 de julio de 2013;485.849
3 años;Total;1 de abril de 2013;""
